기준일,시간대구분,구분,총생활인구수
20240121,18,동대문구,335370.2074
20240121,18,중랑구,358038.0732
20240121,18,성북구,411232.8377
20240121,18,강북구,281063.8296
20240121,18,도봉구,271632.2688
20240121,18,노원구,497269.3302
20240121,18,은평구,439585.1552
20240121,18,서대문구,338208.8157
20240121,18,마포구,466938.4133
20240121,18,양천구,379106.6015
20240121,18,강서구,547311.5188
20240121,18,구로구,389525.5445
20240121,18,금천구,202650.8755
20240121,18,영등포구,471637.6892
20240121,18,동작구,366104.9911
20240121,18,관악구,466939.8065
20240121,18,서초구,525035.7056
20240121,18,강남구,737506.1101
20240121,18,송파구,774725.9368
20240121,18,강동구,516145.587
20240121,19,종로구,244811.7658
20240121,19,중구,210079.6307
20240121,19,용산구,284990.0873
20240121,19,성동구,329479.6782
20240121,19,광진구,372811.6577
20240121,19,동대문구,334654.4956
20240121,19,중랑구,362289.7191
20240121,19,성북구,418206.8799
20240121,19,강북구,283792.3693
20240121,19,도봉구,272996.3924
20240121,19,노원구,501377.6327
20240121,19,은평구,446696.5847
20240121,19,서대문구,339984.7855
20240121,19,마포구,461467.2971
20240121,19,양천구,383606.1437
20240121,19,강서구,546306.4198
20240121,19,구로구,391629.402
20240121,19,금천구,203704.3929
20240121,19,영등포구,460519.8806
20240121,19,동작구,373360.4925
20240121,19,관악구,474606.2191
20240121,19,서초구,515401.1963
20240121,19,강남구,721444.8757
20240121,19,송파구,768971.4136
20240121,19,강동구,521800.6404
20240121,20,종로구,229228.9447
20240121,20,중구,198549.5584
20240121,20,용산구,277496.2254
20240121,20,성동구,329824.355
20240121,20,광진구,375330.22
20240121,20,동대문구,334081.7708
20240121,20,중랑구,366358.1023
20240121,20,성북구,424505.7635
20240121,20,강북구,285781.1761
20240121,20,도봉구,276427.8814
20240121,20,노원구,505166.495
20240121,20,은평구,453375.6777
20240121,20,서대문구,341736.5641
20240121,20,마포구,451833.4728
20240121,20,양천구,389207.8409
20240121,20,강서구,546017.1074
20240121,20,구로구,394878.8901
20240121,20,금천구,206185.2264
20240121,20,영등포구,449347.1894
20240121,20,동작구,380459.4172
20240121,20,관악구,482649.9968
20240121,20,서초구,504837.0391
20240121,20,강남구,710408.7161
20240121,20,송파구,760838.0697
20240121,20,강동구,528503.3703
20240121,21,종로구,215394.7211
20240121,21,중구,187647.8202
20240121,21,용산구,266454.9585
20240121,21,성동구,328057.6096
20240121,21,광진구,376024.4472
20240121,21,동대문구,338755.7087
20240121,21,중랑구,371006.3902
20240121,21,성북구,428736.4536
20240121,21,강북구,290631.1944
20240121,21,도봉구,279154.4577
20240121,21,노원구,508935.2533
20240121,21,은평구,461335.6377
20240121,21,서대문구,342404.3411
20240121,21,마포구,440397.4484
20240121,21,양천구,391788.0798
20240121,21,강서구,549252.7437
20240121,21,구로구,396812.6251
20240121,21,금천구,205370.9887
20240121,21,영등포구,440366.9033
20240121,21,동작구,385412.6319
20240121,21,관악구,491218.0349
20240121,21,서초구,492974.9953
20240121,21,강남구,697849.2352
20240121,21,송파구,749188.194
20240121,21,강동구,532748.3619
20240121,22,종로구,205320.5811
20240121,22,중구,178474.2981
20240121,22,용산구,259989.7903
20240121,22,성동구,327267.0562
20240121,22,광진구,376158.227
20240121,22,동대문구,341055.6521
20240121,22,중랑구,374226.0833
20240121,22,성북구,434896.3434
20240121,22,강북구,293087.7322
20240121,22,도봉구,281566.9428
20240121,22,노원구,512056.4226
20240121,22,은평구,468487.2793
20240121,22,서대문구,342707.456
20240121,22,마포구,429535.8765
20240121,22,양천구,393147.9283
20240121,22,강서구,552879.8753
20240121,22,구로구,398982.5849
20240121,22,금천구,205918.4631
20240121,22,영등포구,435711.5282
20240121,22,동작구,390454.8924
20240121,22,관악구,498924.7949
20240121,22,서초구,483466.3788
20240121,22,강남구,672671.0868
20240121,22,송파구,745530.1866
20240121,22,강동구,536942.9224
20240121,23,종로구,197231.4958
20240121,23,중구,167623.3037
20240121,23,용산구,250610.835
20240121,23,성동구,320301.9901
20240121,23,광진구,367471.2003
20240121,23,동대문구,338563.481
20240121,23,중랑구,374947.7765
20240121,23,성북구,431912.6569
20240121,23,강북구,295059.5597
20240121,23,도봉구,277595.3177
20240121,23,노원구,511019.0713
20240121,23,은평구,469100.5226
20240121,23,서대문구,339616.7028
20240121,23,마포구,412840.5937
20240121,23,양천구,389672.2641
20240121,23,강서구,549661.5483
20240121,23,구로구,394125.5379
20240121,23,금천구,202849.6154
20240121,23,영등포구,417855.9346
20240121,23,동작구,392193.3268
20240121,23,관악구,503543.8762
20240121,23,서초구,465375.2732
20240121,23,강남구,661108.5359
20240121,23,송파구,734240.8971
20240121,23,강동구,534539.2741
20240120,0,종로구,202896.4761
20240120,0,중구,164960.5715
20240120,0,용산구,258901.8731
20240120,0,성동구,319742.0791
20240120,0,광진구,366637.209
20240120,0,동대문구,339616.1185
20240120,0,중랑구,372530.4827
20240120,0,성북구,430993.8889
20240120,0,강북구,294673.3641
20240120,0,도봉구,275736.5117
20240120,0,노원구,510084.7147
20240120,0,은평구,464808.7175
20240120,0,서대문구,341821.6007
20240120,0,마포구,425410.6591
20240120,0,양천구,386822.2707
20240120,0,강서구,547464.9013
20240120,0,구로구,390445.4631
20240120,0,금천구,202068.7376
20240120,0,영등포구,423289.3648
20240120,0,동작구,385949.9671
20240120,0,관악구,496788.3783
20240120,0,서초구,472467.9043
20240120,0,강남구,687150.3143
20240120,0,송파구,735320.0598
20240120,0,강동구,532492.1966
20240120,1,종로구,200934.6219
20240120,1,중구,161425.0359
20240120,1,용산구,257172.5875
20240120,1,성동구,320812.1718
20240120,1,광진구,367911.8889
20240120,1,동대문구,341598.8154
20240120,1,중랑구,375724.6817
20240120,1,성북구,433378.1356
20240120,1,강북구,296454.7981
20240120,1,도봉구,278550.1841
20240120,1,노원구,511874.2422
20240120,1,은평구,468621.3949
20240120,1,서대문구,342676.689
20240120,1,마포구,422972.8233
20240120,1,양천구,388132.6334
20240120,1,강서구,550379.1303
20240120,1,구로구,390852.102
20240120,1,금천구,203135.5356
20240120,1,영등포구,422217.9679
20240120,1,동작구,386483.8359
20240120,1,관악구,500686.4316
20240120,1,서초구,468744.3139
20240120,1,강남구,678959.6937
20240120,1,송파구,738516.1202
20240120,1,강동구,535821.963
20240120,2,종로구,200012.0298
20240120,2,중구,159393.043
20240120,2,용산구,256224.3851
20240120,2,성동구,322967.0026
20240120,2,광진구,369276.8752
20240120,2,동대문구,342974.7679
20240120,2,중랑구,378856.3687
20240120,2,성북구,435711.9064
20240120,2,강북구,297965.8174
20240120,2,도봉구,281347.5499
20240120,2,노원구,514659.5238
20240120,2,은평구,471784.126
20240120,2,서대문구,343651.7276
20240120,2,마포구,420861.9114
20240120,2,양천구,390083.1969
20240120,2,강서구,552948.1644
20240120,2,구로구,392251.9074
20240120,2,금천구,204435.422
20240120,2,영등포구,421847.25
20240120,2,동작구,389024.6395
20240120,2,관악구,503987.5794
20240120,2,서초구,466130.3808
20240120,2,강남구,673134.9186
20240120,2,송파구,741678.3811
20240120,2,강동구,538771.7489
20240120,3,종로구,199585.47
20240120,3,중구,158698.5257
20240120,3,용산구,255569.812
20240120,3,성동구,324503.6497
20240120,3,광진구,370996.5177
20240120,3,동대문구,345392.8327
20240120,3,중랑구,381079.9721
20240120,3,성북구,437749.0967
20240120,3,강북구,299622.9154
20240120,3,도봉구,283560.9592
20240120,3,노원구,516998.3231
20240120,3,은평구,474822.2832
20240120,3,서대문구,345083.2543
20240120,3,마포구,419782.0317
20240120,3,양천구,392216.3964
20240120,3,강서구,554601.5942
20240120,3,구로구,392959.9656
20240120,3,금천구,205178.343
20240120,3,영등포구,423113.6621
20240120,3,동작구,390806.2061
20240120,3,관악구,506735.7796
20240120,3,서초구,464047.8841
20240120,3,강남구,668886.5581
20240120,3,송파구,744373.1563
20240120,3,강동구,541786.9123
20240120,4,종로구,200450.8646
20240120,4,중구,159616.229
20240120,4,용산구,256376.0011
20240120,4,성동구,327026.6313
20240120,4,광진구,373067.353
20240120,4,동대문구,348272.6454
20240120,4,중랑구,382469.0211
20240120,4,성북구,438684.9789
20240120,4,강북구,300244.5382
20240120,4,도봉구,285743.9712
20240120,4,노원구,517889.5675
20240120,4,은평구,475700.2386
20240120,4,서대문구,346635.7485
20240120,4,마포구,419190.9796
20240120,4,양천구,393540.7326
20240120,4,강서구,557924.0771
20240120,4,구로구,394318.2109
20240120,4,금천구,205794.9404
20240120,4,영등포구,424301.2469
20240120,4,동작구,391569.9422
20240120,4,관악구,507558.1222
20240120,4,서초구,465178.1863
20240120,4,강남구,665548.7026
20240120,4,송파구,747112.4347
20240120,4,강동구,544183.717
20240120,5,종로구,202513.7516
20240120,5,중구,163198.3446
20240120,5,용산구,259549.1448
20240120,5,성동구,329650.3348
20240120,5,광진구,374532.3983
20240120,5,동대문구,350708.7628
